school_id,name,region
253,ЦФКСиЗ Красногвардейского района,Санкт-Петербург
254,ЦФКСиЗ Василеостровского района,Санкт-Петербург
256,ЦФКСиЗ Московского района,Санкт-Петербург
257,ЦФКСиЗ Фрунзенского района,Санкт-Петербург
258,Челны,Набережные челны
259,Чемпион,Санкт-Петербург
260,Энергия,Свердловская область
261,Южное сияние,Челябинская область
262,Южный Лед,Москва
263,Юность,Мурманская область
264,Юность,Свердловская область
265,Юность,ХМАО-Югра
266,Юность,Чувашская Республика
267,Ямал,Ямало-Ненецкий АО
268,МКУ ДО «ДЮСШ «ВОСТОЧНАЯ»,Воронежская область
270,ЦФКСиЗ Невского района,Санкт-Петербург
271,ИП Иванова,Санкт-Петербург
272,СК ФК «Open Ice»,Санкт-Петербург
273,Каскад,Санкт-Петербург
274,"""Голден Айс Петергоф"" (ГБУ СШ ""Манеж"")",Санкт-Петербург
275,"ООО ""ЛЕДОВАЯ ИСТОРИЯ""",Санкт-Петербург
276,Северная Столица,Санкт-Петербург
277,"НП КФК ""Динамо-Санкт-Петербург""",Санкт-Петербург
278,СФК Империя Льда,Санкт-Петербург
279,Созвездие Айс,Санкт-Петербург
280,Энергия льда,Санкт-Петербург
281,СФК «Серпантин» (И П Шалимова Т.А.),Санкт-Петербург
282,"СШ (ОРК) филиала ФАУ МО РФ ЦСКА (СКА, г. Санкт-Петербург)",Санкт-Петербург
283,Proice Kids,Санкт-Петербург
284,"ООО ""ГЛАЙД""",Санкт-Петербург
285,Отделение фигурного катания «Ника» ООО «Клуб СБС»,Санкт-Петербург
286,СК ФК «Ice Prestige»,Санкт-Петербург
287,"СФК ""УЗОР"" ИП Баранчикова Наталия Александровна",Санкт-Петербург
288,СТАРТАЙС,Санкт-Петербург
289,"ООО ""Пируэт""",Санкт-Петербург
291,Динамит,Санкт-Петербург
292,АНО ШФК,Республика Башкортостан
293,АНО Лига фигурного катания,Москва
294,"ГБУ ""МосСпортОбъект"" ЛЦ ""Звезда""",Москва
295,ГУ ТО ОКСШОР,Тульская область
296,"МБОУ ДО СШ №8 ""Локомотив"", ",Свердловская область
297,"ЧУДО ДЮСОШ ""СИЯНИЕ"" ",Воронежская область
298,"АНО СК ""ЮНАРМЕЙЦЫ""",Севастополь
299,"РФСОО ""ФФККРК""",Республика Коми
300,"ГАУ РО ""ХК ""Рязань-ВДВ""",Рязанская область
301,"МБУ ""ЦФКиС г. Лобня"" ",Московская область
302,СШ №2,Республика Башкортостан
303,"ООО ""СетПоинт""",Москва
304,СШ по ЗВС,Пензенская область
305,Прогресс,Алтайский край
609,"""СШ ""Гвоздика""",Удмуртская республика
610,"СШОР ""Надежда Губернии",Саратовская область
611,КФК «Айсберг»,Пермский край
1836,"ООО ""Триумф""",Москва
